city,snapshot_at,amenity,poi_count
nyc,2026-05-24T14:09:40.780771+00:00,arts_centre,1
nyc,2026-05-24T14:09:40.780771+00:00,bench,1
nyc,2026-05-24T14:09:40.780771+00:00,bicycle_parking,1
nyc,2026-05-24T14:09:40.780771+00:00,clinic,1
nyc,2026-05-24T14:09:40.780771+00:00,college,1
nyc,2026-05-24T14:09:40.780771+00:00,fast_food,1
nyc,2026-05-24T14:09:40.780771+00:00,ferry_terminal,2
nyc,2026-05-24T14:09:40.780771+00:00,fire_station,1
nyc,2026-05-24T14:09:40.780771+00:00,parking_entrance,1
nyc,2026-05-24T14:09:40.780771+00:00,pharmacy,1
nyc,2026-05-24T14:09:40.780771+00:00,place_of_worship,28
nyc,2026-05-24T14:09:40.780771+00:00,post_box,2
nyc,2026-05-24T14:09:40.780771+00:00,post_office,2
nyc,2026-05-24T14:09:40.780771+00:00,restaurant,2
nyc,2026-05-24T14:09:40.780771+00:00,school,71
nyc,2026-05-24T14:09:40.780771+00:00,toilets,2
nyc,2026-05-24T14:09:40.780771+00:00,university,2
chicago,2026-05-24T17:39:59.806938+00:00,bicycle_parking,1
chicago,2026-05-24T17:39:59.806938+00:00,cafe,4
chicago,2026-05-24T17:39:59.806938+00:00,cinema,1
chicago,2026-05-24T17:39:59.806938+00:00,clock,1
chicago,2026-05-24T17:39:59.806938+00:00,dojo,1
chicago,2026-05-24T17:39:59.806938+00:00,driving_school,2
chicago,2026-05-24T17:39:59.806938+00:00,fast_food,7
chicago,2026-05-24T17:39:59.806938+00:00,ferry_terminal,2
chicago,2026-05-24T17:39:59.806938+00:00,fuel,1
chicago,2026-05-24T17:39:59.806938+00:00,kindergarten,2
chicago,2026-05-24T17:39:59.806938+00:00,loading_dock,1
chicago,2026-05-24T17:39:59.806938+00:00,parking_entrance,3
chicago,2026-05-24T17:39:59.806938+00:00,pharmacy,1
chicago,2026-05-24T17:39:59.806938+00:00,place_of_worship,52
chicago,2026-05-24T17:39:59.806938+00:00,post_box,1
chicago,2026-05-24T17:39:59.806938+00:00,post_office,1
chicago,2026-05-24T17:39:59.806938+00:00,pub,3
chicago,2026-05-24T17:39:59.806938+00:00,restaurant,4
chicago,2026-05-24T17:39:59.806938+00:00,school,30
chicago,2026-05-24T17:39:59.806938+00:00,theatre,1
chicago,2026-05-24T17:39:59.806938+00:00,university,1
